868100.0,7,02,125,1
868100.0,7,02,125,2
868100.0,7,02,125,3
868100.0,7,02,125,4
868100.0,7,02,250,1
868100.0,7,02,250,2
868100.0,7,02,250,3
868100.0,7,02,250,4
868100.0,7,02,500,1
868100.0,7,02,500,2
868100.0,7,02,500,3
868100.0,7,02,500,4
868100.0,7,05,125,1
868100.0,7,05,125,2
868100.0,7,05,125,3
868100.0,7,05,125,4
868100.0,7,05,250,1
868100.0,7,05,250,2
868100.0,7,05,250,3
868100.0,7,05,250,4
868100.0,7,05,500,1
868100.0,7,05,500,2
868100.0,7,05,500,3
868100.0,7,05,500,4
868100.0,7,08,125,1
868100.0,7,08,125,2
868100.0,7,08,125,3
868100.0,7,08,125,4
868100.0,7,08,250,1
868100.0,7,08,250,2
868100.0,7,08,250,3
868100.0,7,08,250,4
868100.0,7,08,500,1
868100.0,7,08,500,2
868100.0,7,08,500,3
868100.0,7,08,500,4
868100.0,7,11,125,1
868100.0,7,11,125,2
868100.0,7,11,125,3
868100.0,7,11,125,4
868100.0,7,11,250,1
868100.0,7,11,250,2
868100.0,7,11,250,3
868100.0,7,11,250,4
868100.0,7,11,500,1
868100.0,7,11,500,2
868100.0,7,11,500,3
868100.0,7,11,500,4
868100.0,7,14,125,1
868100.0,7,14,125,2
868100.0,7,14,125,3
868100.0,7,14,125,4
868100.0,7,14,250,1
868100.0,7,14,250,2
868100.0,7,14,250,3
868100.0,7,14,250,4
868100.0,7,14,500,1
868100.0,7,14,500,2
868100.0,7,14,500,3
868100.0,7,14,500,4
868100.0,8,02,125,1
868100.0,8,02,125,2
868100.0,8,02,125,3
868100.0,8,02,125,4
868100.0,8,02,250,1
868100.0,8,02,250,2
868100.0,8,02,250,3
868100.0,8,02,250,4
868100.0,8,02,500,1
868100.0,8,02,500,2
868100.0,8,02,500,3
868100.0,8,02,500,4
868100.0,8,05,125,1
868100.0,8,05,125,2
868100.0,8,05,125,3
868100.0,8,05,125,4
868100.0,8,05,250,1
868100.0,8,05,250,2
868100.0,8,05,250,3
868100.0,8,05,250,4
868100.0,8,05,500,1
868100.0,8,05,500,2
868100.0,8,05,500,3
868100.0,8,05,500,4
868100.0,8,08,125,1
868100.0,8,08,125,2
868100.0,8,08,125,3
868100.0,8,08,125,4
868100.0,8,08,250,1
868100.0,8,08,250,2
868100.0,8,08,250,3
868100.0,8,08,250,4
868100.0,8,08,500,1
868100.0,8,08,500,2
868100.0,8,08,500,3
868100.0,8,08,500,4
868100.0,8,11,125,1
868100.0,8,11,125,2
868100.0,8,11,125,3
868100.0,8,11,125,4
868100.0,8,11,250,1
868100.0,8,11,250,2
868100.0,8,11,250,3
868100.0,8,11,250,4
868100.0,8,11,500,1
868100.0,8,11,500,2
868100.0,8,11,500,3
868100.0,8,11,500,4
868100.0,8,14,125,1
868100.0,8,14,125,2
868100.0,8,14,125,3
868100.0,8,14,125,4
868100.0,8,14,250,1
868100.0,8,14,250,2
868100.0,8,14,250,3
868100.0,8,14,250,4
868100.0,8,14,500,1
868100.0,8,14,500,2
868100.0,8,14,500,3
868100.0,8,14,500,4
868100.0,9,02,125,1
868100.0,9,02,125,2
868100.0,9,02,125,3
