0.4143,105.4720,6.8359
0.3571,122.8800,5.4688
0.3881,140.2880,4.5573
0.3905,157.6960,3.9062
0.3381,52.7360,13.6719
0.3595,61.4400,10.9375
0.3524,70.1440,9.1146
0.3690,78.8480,7.8125
0.3262,26.3680,27.3438
0.3429,30.7200,21.8750
0.3262,35.0720,18.2292
0.3619,39.4240,15.6250
0.3571,105.4720,6.8359
0.4167,122.8800,5.4688
0.3310,140.2880,4.5573
0.3976,157.6960,3.9062
0.3952,52.7360,13.6719
0.3262,61.4400,10.9375
0.4143,70.1440,9.1146
0.3857,78.8480,7.8125
0.3643,26.3680,27.3438
0.3333,30.7200,21.8750
0.3262,35.0720,18.2292
0.3238,39.4240,15.6250
0.3524,105.4720,6.8359
0.3976,122.8800,5.4688
0.3833,140.2880,4.5573
0.3595,157.6960,3.9062
0.3833,52.7360,13.6719
0.3333,61.4400,10.9375
0.3714,70.1440,9.1146
0.3833,78.8480,7.8125
0.3643,26.3680,27.3438
0.3548,30.7200,21.8750
0.3119,35.0720,18.2292
0.3071,39.4240,15.6250
0.4000,105.4720,6.8359
0.4333,122.8800,5.4688
0.3548,140.2880,4.5573
0.4286,157.6960,3.9062
0.3571,52.7360,13.6719
0.3429,61.4400,10.9375
0.3500,70.1440,9.1146
0.3714,78.8480,7.8125
0.3024,26.3680,27.3438
0.3524,30.7200,21.8750
0.3524,35.0720,18.2292
0.3262,39.4240,15.6250
0.3976,105.4720,6.8359
0.3048,122.8800,5.4688
0.3357,140.2880,4.5573
0.3762,157.6960,3.9062
0.3595,52.7360,13.6719
0.3619,61.4400,10.9375
0.3857,70.1440,9.1146
0.3190,78.8480,7.8125
0.3190,26.3680,27.3438
0.3476,30.7200,21.8750
0.3024,35.0720,18.2292
0.3476,39.4240,15.6250
0.3958,190.4640,3.9062
0.4104,221.1840,3.1250
0.3729,251.9040,2.6042
0.3792,282.6240,2.2321
0.4146,95.2320,7.8125
0.3688,110.5920,6.2500
0.3938,125.9520,5.2083
0.3271,141.3120,4.4643
0.3208,47.6160,15.6250
0.3833,55.2960,12.5000
0.3542,62.9760,10.4167
0.3792,70.6560,8.9286
0.4271,190.4640,3.9062
0.4208,221.1840,3.1250
0.3708,251.9040,2.6042
0.4125,282.6240,2.2321
0.3375,95.2320,7.8125
0.3854,110.5920,6.2500
0.3875,125.9520,5.2083
0.3750,141.3120,4.4643
0.3313,47.6160,15.6250
0.3646,55.2960,12.5000
0.3542,62.9760,10.4167
0.3500,70.6560,8.9286
0.3438,190.4640,3.9062
0.4125,221.1840,3.1250
0.3958,251.9040,2.6042
0.4167,282.6240,2.2321
0.3708,95.2320,7.8125
0.3771,110.5920,6.2500
0.3729,125.9520,5.2083
0.3958,141.3120,4.4643
0.3333,47.6160,15.6250
0.3521,55.2960,12.5000
0.3375,62.9760,10.4167
0.3833,70.6560,8.9286
0.4125,190.4640,3.9062
0.3729,221.1840,3.1250
0.4208,251.9040,2.6042
0.3812,282.6240,2.2321
0.4146,95.2320,7.8125
0.3708,110.5920,6.2500
0.3729,125.9520,5.2083
0.3792,141.3120,4.4643
